sample_id,Stkcd,year,parent_llm_score,keyword,generic_bucket,score_bucket,density_bucket,window_hits,context
S026,883,2023,1,数字化,generic,low,dense,3,培训质效提升年”活动，组织本部部门和各级子企业结合业务实际编制培训计划并落实， 为员工综合素质提升打下坚实基础。重点组织青年“俊才”暨“青马工程”培训班、新任职干部暨“领 才”管理能力提升培训班、数字化转型和新型电力系统建设培训班等，加强科技创新、数字化和青年人 才队伍建设。加强技能人才队伍建设，独立承办汽轮机值班员、锅炉运行值班员认定工作，组织近 500 名职工参加 9 个工种的技能等级认定，
S027,300605,2019,1,信息化,generic,low,dense,7,数据、人工智能等技术给智慧城市行业精心打造出可运营、可迭代、可持续、可 盈利的智慧平台。 报告期内公司注册外观设计专利3项，申报发明专利13项，获批软件著作权52项。报告期内，公司“荣获执法行业信息化 （智慧应急）最佳创新驱动解决方案奖” 3、较强的行业技术实力和资质 公司深耕智能化、信息化及智慧城市信息技术行业多年，在民生、公共安全、智慧城市三大细分应用领域，拥有较强的 技术实力和丰
S028,300115,2019,1,信息化,generic,low,dense,2,"等获 得的补助 否 否 500,000.00 与收益相关 深圳市长盈精密技术股份有限公司 2019 年年度报告全文 148 高质量发展专项补 助 昆山市工业 和信息化局 补助 因研究开发、技术 更新及改造等获 得的补助 否 否 374,900.00 与收益相关 智能化生产线改造 补助 太湖新城经 济发展局 奖励 因"
S029,600380,2017,1,信息化,generic,low,dense,2,"走出去”专项资金 与收益相关 195,600.00 0.00 0.00 支柱型企业经营贡献奖 与收益相关 0.00 2,253,839.00 0.00 工业和信息化专项资金 与收益相关 2,000,000.00 0.00 0.00 工业和信息化专项资金 与资产相关 19,250.00 0.00 0.00 “千人计划”配套补"
S030,3029,2021,1,大数据,generic,low,dense,5,于2014年底至2020年任蚂蚁科技集团股份有限公司大安全团队资深总监，2004 年至2009年为阿里巴巴网络技术有限公司数据库技术负责人，2010年至2014年为支付宝（中国）网络技术 有限公司大数据平台负责人，是国内数据库及大数据领域专家。 ④张粮先生：现任公司董事，出生于1961年4月，中国国籍，无境外永久居留权，大学本科学历，中 共党员，高级工程师。曾任国家轻工业部工程师，国家机电轻纺
S031,601886,2016,2,信息化,generic,high,sparse,1,"4 年度收到技术中心创新能力建设项目专项资金 5,000,000.00 元，截止 2016 年 12 月 31 日累计 结转收入 1,125,000.00 元。 (12)根据本公司与北京市经济和信息化委员会签订的《北京市工业发展资金拨款项目合同书》， 2014 年度收到固定资产投资项目拨款 2,470,000.00 元，截止 2016 年 12 月 31 日累计结转收入 1,029,166.6"
S032,603111,2020,2,智能化,generic,high,sparse,1,1 年销量可达 180 万辆；同时，从国际市场来看，随着欧洲排放政策的 实施和补贴政策的推动，欧洲在 2020 年的新能源汽车销量首次超过中国达到 136.7 万辆，因此， 全球新能源汽车电动化、智能化方向已经明确。在零部件配套方面，随着新能源汽车量的快速增 长，汽车零部件的需求日益增加，但市场竞争也越来越激烈，越来越充分。 (五) 投资状况分析 1、 对外股权投资总体分析 √适用 □
S033,600100,2013,2,大数据,generic,high,sparse,1,、非接触式人体安检探测技 术与样机研制、基于物联网技术的污染源实时监控与减排控制系统、同方大型公共建筑 节能监测诊断平台建设及大型公共建筑低成本节能诊断改造项目；(6)其他项目 16 项： 基于大数据与新一代移动通信技术的智能型数字城市管理平台、安全快速大容量互联网 云存储服务系统建设与产业化、基于物联网的安全经济的配用电一体化系统研制、基于 E 人 E 本高安全型移动综合服务平台、应用在平板
S034,600933,2022,2,智能化,generic,high,sparse,1,。依托这些优质稳定的客户资源优势，公司全球化客户/销 售体系进一步完善、优化，2022 年新能源汽车用产品销售收入占比约为 20%，紧跟全球新能源汽 车销售的渗透率大势。 2、顺应汽车电动化、智能化的发展趋势，持续完善“产品超市”品类 2022 年年度报告 11 / 211 公司紧跟全球汽车市场的发展步伐，一方面持续增强获取现有客户、现有市场份额的竞争能 力，不断提高转向系统
S035,2181,2015,2,数字化,generic,high,sparse,1,"媒体业务涵盖门户 网站—大洋网、多媒体数字报纸、手机报纸、广州日报3G门户、手机大洋网、数字电视报纸、移动阅读本及手机客户端软 件等产品，上述产品共同组成了粤传媒的新媒体产品矩阵,公司媒体移动化、数字化发展规划已初见成效。 4. 发行物流及电商业务 公司之子公司广州日报报业经营有限公司销售分公司主要为广报系的《广州日报》、《老人报》、《广州文摘报》等报 刊以及非广报系其他报刊总计40余种报"
S036,600406,2019,2,信息化,generic,high,sparse,1,改革。 五、持续提升管理水平。加强人力资源、财务管理和物资集约管控，提升信息披露质量。坚 持依法治企，健全内控体系，推进审计监督全覆盖。扎实加强安全生产和质量管理，持续开展全 员教育培训，提升信息化建设和保密管理水平。深化和谐企业建设，维护职工合法权益，确保企 业和谐稳定发展。 六、全面加强党的建设。抓好习近平新时代中国特色社会主义思想大学习，持续巩固扩大主 题教育成果。深入实施“党建+
S037,600594,2020,2,信息化,generic,high,sparse,1,，为公司通过自研、联 合开发和购买引进的新品种提供研发、中试和生产场地，提升公司产品的研发生产能力，扩大公司产品 规模，以提升公司的综合竞争力，促进公司长期健康可持续发展。 5、加强人才队伍和信息化建设方面，深入推进班组建设、履职评价、各项机制提升优化，建好四 支队伍，即管理团队、营销团队、研发团队和技术工人团队，建设专业化、年轻化的人才队伍。开展有 自身特色具备深度的客户关系管理系统的搭建
S038,300287,2019,2,智能化,generic,high,sparse,1,报警系统、气体灭火系统项目合同》。详 见公司于2019年10月21日在巨潮资讯网披露的《关于全资子公司上海杰东系统工程控制有限 公司签署合同的公告》（公告编号：2019-078）。 2、嘉会城智能化工程建设项目 （1）项目进展情况 2016年12月27日，公司下属全资子公司北京飞利信电子技术有限公司（以下简称“飞利 信电子”）与发包人迪维（连云港）置业有限公司签订了《建设工程施工合同》
S039,300464,2024,2,数字化,generic,high,sparse,1,与服务支持。在海外，公司通过战略合作与直供模式，深度渗透欧美、中东等主流市场。公司通过产 品迭代与服务升级，与战略客户开展联合研发与深度协作，持续价值共创，推动业务规模持续增长。 4、精细化管理与数字化运营优势 公司核心管理层具备丰富的行业经验，兼具深厚的专业知识和实战积累，确保公司战略与业务运营的高效执行。公 司依托ERP、PLM、MES、OA 等全球领先管理系统，打通销售、生产、采购、仓储、
S040,300356,2014,2,大数据,generic,high,sparse,1,先生于 2009 年至今任光一投资执行董事；公司董事长；全资子公 司苏源光一董事长；全资子公司智友尚云、光一贵仁执行董事；控股子公司云 商天下董事长、索瑞电气董事；参股子公司贵银投资董事、中云文化大数据董 事；天擎华媒（北京）科技有限公司董事长；南京巿人大代表，江苏省贵州商 会会长，江苏省（贵州省）工商联执委，江苏省致公党省经济委员会副主任。 过去 10 年曾控股的境内外上市公司情况 无
S041,603883,2022,2,智能制造,generic,high,sparse,1,"79,972 与资产相关 中药产业园建设项目 484,751 829,124 与资产相关 医药健康产业园建设 项目 84,508 84,507 与资产相关 芙蓉区国库智能制造 试点企业项目 44,754 37,295 与资产相关 其他 131,073 1,074,032 与资产相关 稳岗补贴 15,231,2"
S042,688409,2024,2,智能制造,generic,high,sparse,1,"394,8 11,233. 57 287,804 ,179.31 3,132,9 35,881. 85 92.29 注1：截至2024 年12 月31 日，“集成电路装备零部件全工艺智能制造生产基地”项目已实现净利润54,605,445.07 元。 注2：公司于2023 年10 月20 日召开第一届董事会第二十六次会议，审议通过了《关于以集中竞价交易方式回购公司股份方案的议案》。公司董"
S043,600278,2014,2,智能化,generic,high,sparse,1,"面余额 减值准备 账面价值 账面余额 减值准备 账面价值 物流天下电子商务 平台 5,773,058.38 5,773,058.38 道口智能化系统 219,971.72 219,971.72 道口钢结构土建及 80 吨电子磅工程 209,707.80 209,707.80"
S044,300244,2021,2,信息化,generic,high,sparse,1,诊断和质谱）收入实现14.60亿元，占ICL收入比例超过40%，同比增长45.85%。 2）合作共建模式深化 基于“产品+服务”的综合优势，公司在原有场地设计、冷链物流、质量体系、供应链管理、信息化建设等九大产品线的 基础上不断升级，聚焦县域医共体核心客户，新增等级评审与ISO15189认可服务文件体系、院内物流信息系统（SPD系统）、 迪安诊断技术集团股份有限公司 2021 年年度报告全文
S045,2032,2019,2,数字化,generic,high,sparse,1,进一步融合，公司也将主动拥抱渠道变革，创新营销模式。 品牌建设方面，公司将持续推动品牌的年轻化建设，加强苏泊尔在厨房用具、生活家居电器、厨卫电器等新兴业务的品 牌力建设，利用更加精准和细分的数字化媒介，更加高效地触达用户。 出口业务方面，虽然由于疫情的影响增加了国际形势的不确定性，但是苏泊尔将依靠SEB内部订单转移优势，持续推进 与SEB在研发、设计、制造等环节的合作，扩大生产规模，获取
S046,300387,2024,2,数字化,generic,high,dense,4,一号文件”，连续第二十二年聚焦“三农”议题，强调夯实“三农”工作基础，推 进乡村全面振兴；发展智慧农业，拓展人工智能、数据、低空等技术应用场景。在数字经济蓬勃发展和数字技术广泛应 用的背景下，农业数字化成为推动农业农村现代化的关键。《数字乡村发展战略纲要》《数字农业农村发展规划 （2019−2025 年）》相关文件提出要发挥数字化和信息化在乡村振兴中的作用，并明确提升农业生产、加工、销售、物 流
S047,600336,2023,3,智能化,generic,high,dense,3,"2023 年公司共参与国家标准制修订 38 项，获评各级科技奖项 57 项,其中国际奖项 2 项， CXW-300BJ210 油烟机获得国际 IF 设计大奖。 报告期内，公司持续推进产品向高端化、智能化、场景化、绿色转型升级，全年开发新品中 智能化产品、绿色节能能效产品占比均达 85%。同时，公司还进一步扩展数字化研发实施范围， 并升级慧生活，积极接入第三方平台，开发慧生活控制台，实现了家用产品"
S048,2230,2024,2,人工智能,generic,high,dense,2,024 年年度报告全文 5 释义 释义项 指 释义内容 人工智能 指 英文缩写为AI。它是研究、开发用于模拟、延伸和扩展人 的智能的理论、方法、技术及应用系统的一门新的技术科 学。人工智能是指能够像人一样进行感知、认知、决策和执 行的人工程序或系统。感知智能，即机器具有“能听会说、 能看会认”的能力，主要涉及语音合成、语音识别、图像识 别、多语种语音处理等技术；认知智能，即机器具
S049,300195,2022,2,智能化,generic,high,dense,4,扩大产品市场占有率;加强 技术创新，强化系统创 新、集成创新、产业创新，加强与全球行业龙头企业和技术龙头企业的合作， 努力成为行业技术的引领者。 (二)打造智能制造的“实力”——拥抱数字化浪潮和智能化趋势，加强数字化印后设备的研发和投 入，继续丰富现有数字 化激光模切设备产品线，向数码冷烫等数码整饰及喷墨数码印刷市场等印中领 域进发。 (三)增强海外扩展的“魄力”——落实与海德堡的战略合作协
S050,300608,2021,2,数字化,generic,high,dense,6,平台+数据+运营” 的服务模式为城市全行业数字化转型升级提供持续、高效、安全的赋能服务支撑，通过构筑城市级的信息融合基础设施体系、 建设丰富的信息化能力，提升城市信息化发展效率，持续打造良好的城市数字化转型生态体系。 2.2 经济中台方面，聚合本地产业，推动经济发展 数字经济中台，思特奇的研发理念是以理顺经济活动为驱动，为政府和其他组织构建本地实体企业的交易聚合平台，实 现本地产业间资金、
S051,300378,2024,2,人工智能,generic,high,dense,5,以满足 制造业在数智化转型过程中的自主可控、IT+OT 融合等需求。 2、鼎捷雅典娜数智原生底座和新应用生态体系 （1）鼎捷雅典娜数智原生底座及AI 工具链 鼎捷雅典娜数智原生底座是融合新一代人工智能、大数据及知识图谱等技术的PaaS 平台，具 备低代码、多端协同、云原生等技术优势，以业务中台、知识中台、数据中台、智驱平台为支撑， 全面解决企业在结构型及非结构型数据治理、数据工程的关键需求。
S052,600728,2020,2,人工智能,generic,high,dense,2,国科学院、清华大学、中山大学、西南交通大学、华南理工大学等知名院校建立专项技术研发合 作，通过与业界和同行专家企业的密切交流，在人工智能的各个领域保持前沿洞察力。 2、行业 Know-How 及人工智能产品化优势 公司在轨道交通、公共安全、城市交通三大场景已有超过 10 年的行业积累，掌握了较为深厚 的行业 Know-How（即行业专有技术、知识、经验），对客户业务的“痛点”“痒点”有较深理解
S053,603833,2024,2,人工智能,generic,high,dense,4,家居一体化解决方案提供者，解决消费者家装家居的需求痛点。公司致 力于不断迭代整装大家居、零售大家居等品类+服务融合商业模式。 2.信息化战略：未来，欧派信息化还将通过互联网、大数据、云计算、AI 人工智能、供应链 协同等创新技术手段，拓展新型业态赋能，重构大家居业务生态、行业产业链、价值链，创新变 革传统定制模式并使其适配新一代大家居商业模式。 3.大家居交付能力强化：基于公司的大家居战略以及信
S054,300013,2022,2,智能化,generic,high,dense,7,置资源，抢抓发展机遇。加强对冷链、电商、新能源汽车等新行业及潜在客户的研究，找准时机切入发 展新赛道。以业务为主线，整合系统资源，紧盯重点项目，持续投入资源加大新项目开发力度。 3、推进智能化数字化转型 公司将加强技术创新，以各子公司的智能仓改造升级为抓手，进一步推进智能化物流设备更新及智 能化物流场景应用，提升公司供应链物流智能化水平。加快数字化转型，全面评估供应链各个环节，找
S055,600061,2023,2,数字化,generic,high,dense,4,务方面，完善策略，提升对外部环境变化的应对能力；五是国际业务方面，进一步提升 对大型跨国加工、贸易企业参与期货市场服务的深度与广度；六是 IT 建设与数字化转型方面，完 善中长期 IT 战略，深化数字化转型对经营管理的支持；七是合规风控方面，持续完善全面风险管 理体系，推进合规信息管理系统建设；八是结合国投证券母公司的名称变更，完成国投安信期货 名称变更及品牌与视觉形象管理体系的重构工作。 (
S056,300989,2023,2,智慧城市,generic,high,dense,4,（1）明确智慧城市体 检的内涵与发展趋 势。 （2）基于城市体检指 标体系和国际标准、 学术研究、地方标 准、行业标准等指标 体系的研究，构建智 慧城市体检指标体 系。 （3）建设智慧城市体 检信息化平台。展示 城市体检成果形式与 内容，诊断与监测城 市问题。 （4）基于智慧城市体 检结果，进行城市更 新问题诊断与项目服 务。 通过工具、平台等方 式构建城市体检数据
S057,682,2020,2,数字化转型,generic,high,dense,7,营和利益共享机制，进 一步升华电力辅助服务市场、中长期交易等市场化机制建设，充分挖掘常规电源、储能、用户负荷等各方 调节能力，提升可再生能源的消纳水平。 在这样的背景下，构建以数据为关键要素的数字化转型是能源互联网建设过程中的重要的需要解决的 东方电子股份有限公司 2020 年年度报告全文 11 问题，推动电网智能化升级和数字化转型成为电网公司的工作重点。在电网生产数字化转型方面，通过“电
S058,603019,2018,2,信息化,generic,high,dense,4,群”等区域协同发展战略的实施，以及雄安新区的设立，国 家中心城市的进一步扩容，各地区的信息化建设需求正在进一步扩张中。部分经济欠发达地区制 定并实施了以新一代信息技术为依托的跨越式发展规划，带来了信息化需求的显著增长。例如以 贵州为代表的西部省区，大数据产业成为当地经济发展的新龙头，显著地拉动了对信息化产品和 技术的需求。 2、知识密集型特征 本公司所处行业具有知识密集型特征，具体为：
S059,301282,2023,2,数字化,generic,high,dense,4,体系、加强宣导培训、开展专项行动、持续监督考核等方式狠 抓落实全员降本增效工作执行力的提升。 6、持续加码信息化改造，助力公司高质量发展 2024 年度，公司将持续加码信息化建设工作，完成中长期数字化建设总体规划，实现 SAP ERP 系统、OA 系统、 资金管理系统等正式上线运营并持续扩大 MES 系统的实施应用，同时根据生产经营需要加快推进相关作业流程的信 息化、数字化改造，初步建成契合公
S060,688232,2023,2,大数据,generic,high,dense,5,）》，为公共资源交易行业服务标准 化建设提供参考价值。 公司通过业务和技术创新，打造了全流程的闭环监管，构建全域一体化的新型监管体系，抢 抓数字化转型机遇，掀开智慧监管新篇章；在评标业务中，运用大数据、人工智能等技术解决评 标耗时长、评审点重复、评审尺度不一等问题，提升专家评审质效、规范专家行为，提升中心服 务水平；升级打造了公共资源电子交易系统8.0，进一步提升了智能化程度、系统兼容性、数据
S061,603778,2017,1,风险控制,nongeneric,low,sparse,1,平，使股东及其它权益投资者的利益最大化。基于该风险管理目标，本 公司风险管理的基本策略是确定和分析本公司所面临的各种风险，建立适当的风险承受底线并进 行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围之内。 (1)市场风险 1）利率风险 本公司全部为固定利率借款。 2）价格风险 本公司以市场价格签订工程合同，因此受到此等价格波动的影响。 3)汇率风险 外汇风
S062,688207,2024,1,算法,nongeneric,low,sparse,1,学历、高水平的研发队伍。截至报告期末，公司研发人员 为231 人，占员工总数的比重为62.94%。截至报告期末，公司的核心技术团队由公司创始人、董 事长、首席科学家赵勇博士等在内的6 人组成，涵盖算法、智能应用、产品设计、硬件开发等多 领域的资深人才，公司副总经理、国科亿道董事长张强先生曾获得军队科技进步二等奖，公司团 队拥有丰富的学术知识与研发创新经验，对行业前沿技术与发展趋势具有深刻认知及
S063,688130,2023,0,算法,nongeneric,low,sparse,1,ADC 输出数据快速稳定； ②采用 sigma-delta ADC 对 HART 信号进行量 化以增强解调模拟前端的抗扰性能，对 ADC 输出信号进行高抗扰计数滤波，实时检测脉 冲宽度并作对应算法处理以进一步提升系统 可靠度，最终降低系统通讯误码率； ③采用自主研发的高阶滚动平均滤波器架 构，实现高性能滤波的同时降低硬件成本及 功耗。 加速输出数据的稳 定，降低系统通讯 的误码率
